Parameter Name,Group,Material,Lab min Value,Client min Value,Parameter Test Method,Pseudo Parameter,Discipline,Mu Value,Lab max Value,Client max Value,Unit,NABL,Material Table,Inputs,Material/Lab Name,Remark 
Thickness,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL MECHANICAL,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,mm,,,,FERROUS MATERIAL- STRUCTURAL STEEL,
Area,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL MECHANICAL,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,mm2,,,,FERROUS MATERIAL- STRUCTURAL STEEL,
Gauge Length,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL MECHANICAL,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,mm,,,,FERROUS MATERIAL- STRUCTURAL STEEL,
Final Length,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL MECHANICAL,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,mm,,,,FERROUS MATERIAL- STRUCTURAL STEEL,
0.2% Proof Load / Yield Load,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL MECHANICAL,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,KN,,,,FERROUS MATERIAL- STRUCTURAL STEEL,
Ultimate Load,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL MECHANICAL,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,KN,,,,FERROUS MATERIAL- STRUCTURAL STEEL,
Dia,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,mm,NABL,"lerm.parameter.master.table,1899",,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,
Area,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,mm2,NABL,"lerm.parameter.master.table,1900",,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,
Gauge Length,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,N/mm2,NABL,"lerm.parameter.master.table,1901",,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,
Final Length,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,N/mm2,NABL,"lerm.parameter.master.table,1902",,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,
0.2% proof Load / Yield Load,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,N/mm2,NABL,"lerm.parameter.master.table,1903",,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,
Ultimate Load,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,N/mm2,NABL,"lerm.parameter.master.table,1904",,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,
0.2% proof Load / Yield Stress,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,250.00,0.00,,FALSE,MECHANICAL,0.00,450.00,0.00,N/mm2,NABL,"lerm.parameter.master.table,1905",False,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,
Ultimate Tensile Strength,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,410.00,0.00,,FALSE,MECHANICAL,0.01,750.00,0.00,N/mm2,NABL,"lerm.parameter.master.table,1906",,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,
% Elongation,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,23.00,0.00,,FALSE,MECHANICAL,0.03,100.00,0.00,N/mm2,NABL,"lerm.parameter.master.table,1907",,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,
Rebend Test,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,,,"lerm.parameter.master.table,1910",,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,
Na2O,BUILDING MATERIALS - CHEMICAL,,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,Non NABL,"lerm.parameter.master.table,789",Wt of sample,,
K2O,BUILDING MATERIALS - CHEMICAL,,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,Non NABL,"lerm.parameter.master.table,790",Wt of Sample,,
Bend Test,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,,NABL,"lerm.parameter.master.table,1908",,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,
Nature of Aggregate,BUILDING MATERIALS - CHEMICAL,,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,NABL,"lerm.parameter.master.table,791",Nature of Aggregate,,
Fracture,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,,,"lerm.parameter.master.table,1909",,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,
Thickness,MECHANICAL PROPERTIES OF METALS,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,,NABL,"lerm.parameter.master.table,3232",,FERROUS MATERIAL - STRUCTURAL STEEL ROUND MECHANICAL,
Deleterious content (Light weight Particles- coal and lignite),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,FINE AGGREGATE,0.01,0.00,IS 2386 (Part-2) :1963 RA 2021,FALSE,MECHANICAL,0.00,20.00,0.00,%,NABL,"lerm.parameter.master.table,3005",,FINE AGGREGATE,
Soundness by MgSO4,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,FINE AGGREGATE,0.01,0.00,IS 2386 (Part-5) :1963 RA 2021,FALSE,MECHANICAL,0.01,20.00,0.00,%,NABL,"lerm.parameter.master.table,3006",,FINE AGGREGATE,
Soundness by Na2SO4,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,FINE AGGREGATE,0.01,0.00,IS 2386 (Part-5) :1963 RA 2021,FALSE,MECHANICAL,0.01,20.00,0.00,%,NABL,"lerm.parameter.master.table,3007",,FINE AGGREGATE,
Deleterious content (Clay Lumps),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,FINE AGGREGATE,0.01,0.00,IS 2386 (Part-2) :1963 RA 2021,FALSE,MECHANICAL,0.00,20.00,0.00,%,NABL,"lerm.parameter.master.table,3008",,FINE AGGREGATE,
Loose Bulk Density (LBD),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,FINE AGGREGATE,1.20,0.00,IS 2386 (Part-3) :1963 RA 2021,FALSE,MECHANICAL,0.00,3.00,0.00,Kg/l,NABL,"lerm.parameter.master.table,3009",,FINE AGGREGATE,
Deleterious content (Material Finer than 75 micron),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,FINE AGGREGATE,1.00,0.00,IS 2386 (Part-1) :1963 RA 2021,FALSE,MECHANICAL,0.01,50.00,0.00,%,NABL,"lerm.parameter.master.table,3010",,FINE AGGREGATE,
Sieve Analysis,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,FINE AGGREGATE,0.10,0.00,IS 2386 (Part-1) :1963 RA 2021,FALSE,MECHANICAL,0.03,100.00,0.00,%,NABL,"lerm.parameter.master.table,3011",,FINE AGGREGATE,
pH-Value,CHEMICAL-WATER,,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,,"lerm.parameter.master.table,401",,,
Speciﬁc Gravity,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,FINE AGGREGATE,2.00,0.00,IS 2386 (Part-3) :1963 RA 2021,FALSE,MECHANICAL,0.00,3.30,0.00,--,NABL,"lerm.parameter.master.table,3012",,FINE AGGREGATE,
Moisture Content,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,FINE AGGREGATE,0.10,0.00,IS 2386 (Part-3) :1963 RA 2021,FALSE,MECHANICAL,0.00,20.00,0.00,%,NABL,"lerm.parameter.master.table,3013",,FINE AGGREGATE,
Water Absorption,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,FINE AGGREGATE,0.10,0.00,IS 2386 (Part-3) :1963 RA 2021,FALSE,MECHANICAL,0.00,15.00,0.00,%,NABL,"lerm.parameter.master.table,3014",,FINE AGGREGATE,
Rodded Bulk Density (RBD),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,FINE AGGREGATE,1.20,0.00,IS 2386 (Part-3) :1963 RA 2021,FALSE,MECHANICAL,0.00,3.00,0.00,Kg/l,NABL,"lerm.parameter.master.table,3015",,FINE AGGREGATE,
Organic Impurities,BUILDING MATERIALS - CHEMICAL,Fine Aggregate Organic Impurities,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,NABL,"lerm.parameter.master.table,3163",Organic Impurities,Fine Aggregate,
FLUSH DOOR,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,FLUSH DOOR,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,,,,,FLUSH DOOR,
Compressive Strength,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Fly Ash (Mechanical),4.00,0.00,IS 1727: 1967,FALSE,MECHANICAL,0.01,100.00,0.00,N/mm2,NABL,"lerm.parameter.master.table,606",,Flyash Mechanical,
Normal Consistency,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Fly Ash (Mechanical),0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,%,NABL,"lerm.parameter.master.table,607",,Flyash Mechanical,
Lime reactivity,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Fly Ash (Mechanical),0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,N/mm2,NABL,"lerm.parameter.master.table,608",,Flyash Mechanical,
"P-Alkalinity , as CaCO3",,,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,,"lerm.parameter.master.table,409",,,
Particles retained on 45 micron IS sieve (wet sieving),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Fly Ash (Mechanical),0.10,0.00,IS 1727: 1967,FALSE,MECHANICAL,0.04,40.00,0.00,%,NABL,"lerm.parameter.master.table,610",,Flyash Mechanical,
"Chlorides ,as Cl",CHEMICAL-WATER,,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,,"lerm.parameter.master.table,411",,,
"Calcium , as Ca",CHEMICAL-WATER,,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,,"lerm.parameter.master.table,412",,,
"Magnesium , as Mg",,,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,,"lerm.parameter.master.table,413",,,
"Reactive Silica , As SiO2",CHEMICAL-WATER,,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,,"lerm.parameter.master.table,414",,,
"Sulphates , as SO4",CHEMICAL-WATER,,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,,"lerm.parameter.master.table,415",,,
Soundness by Le-Chatelier Method,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Fly Ash (Mechanical),0.10,0.00,IS 1727: 1967,FALSE,MECHANICAL,0.14,20.00,0.00,mm,NABL,"lerm.parameter.master.table,612",,Flyash Mechanical,
Coliform,CHEMICAL-WATER,,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,,"lerm.parameter.master.table,417",,,
Escherichia coli,CHEMICAL-WATER,,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,,"lerm.parameter.master.table,418",,,
Specific Gravity,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Fly Ash (Mechanical),1.10,0.00,IS 1727: 1967,FALSE,MECHANICAL,0.04,4.00,0.00,--,NABL,"lerm.parameter.master.table,613",,Flyash Mechanical,
Nature of Aggregate,BUILDING MATERIALS - CHEMICAL,,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,,"lerm.parameter.master.table,419",Nature of Aggregate,,
Calcium Oxide + Magnesium Oxide,BUILDING MATERIALS - CHEMICAL,,0.00,0.00,IS 6932(Part 1): 1973,FALSE,CHEMICAL,0.00,0.00,0.00,,NABL,"lerm.parameter.master.table,439",Calcium Oxide,,
Fineness By Blaine Air Permeability Method,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Fly Ash (Mechanical),100.00,0.00,IS 1727: 1967,FALSE,MECHANICAL,0.02,600.00,0.00,m2/kg,NABL,"lerm.parameter.master.table,614",,Flyash Mechanical,
Final setting time,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Fly Ash (Mechanical),30.00,0.00,IS 1727: 1967,FALSE,MECHANICAL,0.01,350.00,0.00,Minute,NABL,"lerm.parameter.master.table,615",,Flyash Mechanical,
Initial Setting Time,BUILDING MATERIALS - CHEMICAL,Fly Ash (Mechanical),0.00,0.00,,FALSE,MECHANICAL,0.00,300.00,0.00,Minute,NABL,"lerm.parameter.master.table,1228",,Flyash Mechanical,
Soundness By Autoclave Method,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Fly Ash (Mechanical),0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,,Non NABL,,,Flyash Mechanical,
% Magnesium Oxide,BUILDING MATERIALS - CHEMICAL,Fly Ash-Chemical,0.10,0.00,IS 1727:1967 (RA 2018),FALSE,CHEMICAL,0.01,8.00,0.00,% by mass,NABL,"lerm.parameter.master.table,593",sample wt (gm),FLY ASH (CHEMICAL),
CaO,BUILDING MATERIALS - CHEMICAL,Fly Ash-Chemical,0.10,0.00,,FALSE,CHEMICAL,0.00,6.00,0.00,% by mass,NABL,"lerm.parameter.master.table,594",Wt of Sample (gm),FLY ASH (CHEMICAL),
Loss on ignition,BUILDING MATERIALS - CHEMICAL,Fly Ash-Chemical,0.10,0.00,IS 1727: 1967,FALSE,CHEMICAL,0.00,10.00,0.00,% by mass,NABL,"lerm.parameter.master.table,595",wt of empty crucible (gm),FLY ASH (CHEMICAL),
MgO,BUILDING MATERIALS - CHEMICAL,Fly Ash-Chemical,0.10,0.00,IS 1727:1967,FALSE,CHEMICAL,0.01,8.00,0.00,% by mass,NABL,"lerm.parameter.master.table,596",Wt of Sample (gm),FLY ASH (CHEMICAL),
Silica (SiO2),BUILDING MATERIALS - CHEMICAL,Fly Ash-Chemical,20.00,0.00,IS 1727:1967,FALSE,CHEMICAL,0.00,70.00,0.00,% by mass,NABL,"lerm.parameter.master.table,597",Wt of sample taken W1 (gm),FLY ASH (CHEMICAL),
Sulphuric Anhydride (SO3),BUILDING MATERIALS - CHEMICAL,Fly Ash-Chemical,0.10,0.00,IS 1727:1967,FALSE,CHEMICAL,0.01,50.00,0.00,% by mass,NABL,"lerm.parameter.master.table,1882",sample wt (gm),FLY ASH (CHEMICAL),
Chloride,BUILDING MATERIALS - CHEMICAL,Fly Ash-Chemical,0.01,0.00,IS 4032 :1985,FALSE,CHEMICAL,0.09,0.50,0.00,% by mass,NABL,"lerm.parameter.master.table,598",Burette reading for Blank,FLY ASH (CHEMICAL),
%Alumina (Al2O3),BUILDING MATERIALS - CHEMICAL,Fly Ash-Chemical,5.00,0.00,,FALSE,CHEMICAL,0.00,35.00,0.00,% by mass,NABL,"lerm.parameter.master.table,599",,FLY ASH (CHEMICAL),
Combined Ferric Oxide and Alumina,BUILDING MATERIALS - CHEMICAL,Fly Ash-Chemical,5.00,0.00,IS 516 (Part-5 Sec-2),FALSE,CHEMICAL,0.00,35.00,0.00,% by mass,NABL,"lerm.parameter.master.table,600",Wt of empty crucible (gm),FLY ASH (CHEMICAL),
%Ferric Oxide,BUILDING MATERIALS - CHEMICAL,Fly Ash-Chemical,0.10,0.00,,FALSE,CHEMICAL,0.00,10.00,0.00,% by mass,NABL,"lerm.parameter.master.table,601",Wt of sample (gm),FLY ASH (CHEMICAL),
% Calicum Oxide,BUILDING MATERIALS - CHEMICAL,Fly Ash-Chemical,0.10,0.00,IS:4032:1985(RA):(2019) Clause 4.13,FALSE,CHEMICAL,0.00,6.00,0.00,% by mass,NABL,"lerm.parameter.master.table,602",A) sample wt (gm),FLY ASH (CHEMICAL),
Available alkalies as Na2O,BUILDING MATERIALS - CHEMICAL,Fly Ash-Chemical,0.00,0.00,IS 3812 Pl:2013 Annex C,FALSE,CHEMICAL,0.01,2.00,0.00,% by mass,NABL,"lerm.parameter.master.table,603",Alkali as Na₂O,FLY ASH (CHEMICAL),
Alkali as Na₂O,BUILDING MATERIALS - CHEMICAL,Fly Ash-Chemical,0.00,0.00,IS 3812 Pl:2013 Annex C,FALSE,CHEMICAL,0.01,2.00,0.00,% by mass,NABL,"lerm.parameter.master.table,604",A)Weight of sample taken,FLY ASH (CHEMICAL),
Alkali as K₂O,BUILDING MATERIALS - CHEMICAL,Fly Ash-Chemical,0.00,0.00,IS 3812 Pl:2013 Annex C,FALSE,CHEMICAL,0.01,2.00,0.00,% by mass,NABL,"lerm.parameter.master.table,605",A)Weight of sample taken,FLY ASH (CHEMICAL),
SiO2 + Al2O3 + Fe2O3 %,BUILDING MATERIALS - CHEMICAL,Fly Ash-Chemical,0.00,0.00,IS 516 (Part-5 /Sec-3),FALSE,CHEMICAL,0.00,99.00,0.00,% by mass,NABL,"lerm.parameter.master.table,2919",Silica (SiO2),FLY ASH (CHEMICAL),
Adhesion of coating,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Fusion Bond Epoxy Coated Bar Test,0.00,0.00,IS 13620 : 1993,FALSE,MECHANICAL,0.00,0.00,0.00,--,NABL,"lerm.parameter.master.table,2930",,FUSION BOND EPOXY COATING,
Coating Thickness,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Fusion Bond Epoxy Coated Bar Test,100.00,0.00,IS 13620 : 1993,FALSE,MECHANICAL,0.02,300.00,0.00,micron,NABL,"lerm.parameter.master.table,2927",,FUSION BOND EPOXY COATING,
Continuity of Coating,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Fusion Bond Epoxy Coated Bar Test,0.00,0.00,IS 13620 : 1993,FALSE,MECHANICAL,0.00,0.00,0.00,--,NABL,"lerm.parameter.master.table,2931",,FUSION BOND EPOXY COATING,
DIA,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Fusion Bond Epoxy Coated Bar Test,0.00,0.00,IS 13620 : 1993,FALSE,MECHANICAL,0.00,0.00,0.00,mm,NABL,,,FUSION BOND EPOXY COATING,
Carbon,METALS & ALLOYS,G I PIPE,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,4841",Carbon,G I PIPE,
Manganese,METALS & ALLOYS,G I PIPE,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,4842",Manganese,G I PIPE,
Sulphur,METALS & ALLOYS,G I PIPE,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,4843",Sulphur,G I PIPE,
Phosphorous,METALS & ALLOYS,G I PIPE,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,4844",Phosphorous,G I PIPE,
Ultimate Tensile Strength,MECHANICAL PROPERTIES OF METALS,G I PIPE(MECHANICAL),0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,,,,,G I PIPE(MECHANICAL),
Carbon,,GALVANIZED STEEL,0.00,0.00,,FALSE,,0.00,0.00,0.00,,,,,GALVANIZED STEEL,
Carbon,METALS & ALLOYS,GALVANIZED STEEL,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,3602",Wt of Sample taken (gm),GALVANIZED STEEL,
Manganese,METALS & ALLOYS,GALVANIZED STEEL,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,3598",Wt of Sample taken gm,GALVANIZED STEEL,
Phosphorous,METALS & ALLOYS,GALVANIZED STEEL,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,3601",Wt of Sample taken (gm),GALVANIZED STEEL,
Sulphur,METALS & ALLOYS,GALVANIZED STEEL,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,3600","volume, in ml, of potassium iodate added",GALVANIZED STEEL,
Loss On Ignition,BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,0.10,0.00,IS 4032 -1985 RA 2019,FALSE,CHEMICAL,0.01,10.00,0.00,% by mass,NABL,"lerm.parameter.master.table,672",Wt of crucible + Sample before ignition (gm),GGBS/UGGBS/Alccofine- CHEMICAL,
Moisture,BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,0.10,0.00,IS 16714/IS 16715 - 2018,FALSE,CHEMICAL,0.19,2.00,0.00,% by mass,NABL,"lerm.parameter.master.table,673",Wt of moisture bottle + Sample before drying,GGBS/UGGBS/Alccofine- CHEMICAL,
Insoluble Residue,BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,0.20,0.00,IS 4032-1985 RA 2019,FALSE,CHEMICAL,0.03,50.00,0.00,% by mass,NABL,"lerm.parameter.master.table,674",Wt of Sample (gm),GGBS/UGGBS/Alccofine- CHEMICAL,
Chloride,BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,0.01,0.00,IS 4032-1985 RA 2019,FALSE,CHEMICAL,0.21,1.00,0.00,% by mass,NABL,"lerm.parameter.master.table,675",A) Blank reading (ml),GGBS/UGGBS/Alccofine- CHEMICAL,
Sulphuric Anhydride as (SO₃),BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,0.10,0.00,IS 4032 -1985 RA 2019,FALSE,CHEMICAL,0.01,5.00,0.00,% by mass,NABL,"lerm.parameter.master.table,676",Wt of Sample (gm),GGBS/UGGBS/Alccofine- CHEMICAL,
Al₂O₃ = R₂O₃ - Fe₂O₃,BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,0.00,0.00,IS 4032 -1985 RA 2019,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,677",R₂O₃,GGBS/UGGBS/Alccofine- CHEMICAL,
R₂O₃,BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,0.00,0.00,IS 4032: 1985,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,1737",A) Wt of Sample (gm),GGBS/UGGBS/Alccofine- CHEMICAL,
Fe₂O₃,BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,0.20,0.00,IS 4032: 1985,FALSE,CHEMICAL,0.02,10.00,0.00,% by mass,NABL,"lerm.parameter.master.table,1738",A) Wt of Sample (gm),GGBS/UGGBS/Alccofine- CHEMICAL,
MnO,BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,0.10,0.00,IS 4032 -1985 RA 2019,FALSE,CHEMICAL,0.08,10.00,0.00,% by mass,NABL,"lerm.parameter.master.table,678",A) Wt of Sample (gm),GGBS/UGGBS/Alccofine- CHEMICAL,
Sulphide Sulphur,BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,0.01,0.00,IS 4032 -1985 RA 2019,FALSE,CHEMICAL,0.01,2.00,0.00,% by mass,NABL,"lerm.parameter.master.table,679",A)Wt of Sample,GGBS/UGGBS/Alccofine- CHEMICAL,
(CaO + MgO + 1/3 Al2O3)/SiO2 + 2/3 Al2O3,BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,0.00,0.00,IS 4032 -1985 RA 2019,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,680",Lime (CaO),GGBS/UGGBS/Alccofine- CHEMICAL,
Lime (CaO),BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,30.00,0.00,IS 4032: 1985,FALSE,CHEMICAL,0.00,70.00,0.00,% by mass,NABL,"lerm.parameter.master.table,1739",A) Wt of Sample (gm),GGBS/UGGBS/Alccofine- CHEMICAL,
MgO,BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,0.20,0.00,IS 4032: 1985,FALSE,CHEMICAL,0.02,25.00,0.00,% by mass,NABL,"lerm.parameter.master.table,1740",A) Wt of Sample (gm),GGBS/UGGBS/Alccofine- CHEMICAL,
Alumina(Al2O3),BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,1.00,0.00,IS 4032: 1985,FALSE,CHEMICAL,0.01,30.00,0.00,% by mass,NABL,"lerm.parameter.master.table,1741",Wt of Sample (gm),GGBS/UGGBS/Alccofine- CHEMICAL,
Silica (SiO₂),BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,16.00,0.00,IS 4032: 1985,FALSE,CHEMICAL,0.00,40.00,0.00,% by mass,NABL,"lerm.parameter.master.table,1742",A) Wt of Sample (gm),GGBS/UGGBS/Alccofine- CHEMICAL,
(CaO + MgO + Al2O3) / SiO2,BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,0.00,0.00,IS 4032 -1985 RA 2019,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,,"lerm.parameter.master.table,681",Lime (CaO),GGBS/UGGBS/Alccofine- CHEMICAL,
(CaO + CaS + 1/2 MgO + Al2O3) / SiO2 + MnO,BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,0.00,0.00,IS 4032 -1985 RA 2019,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,,"lerm.parameter.master.table,682",Lime (CaO),GGBS/UGGBS/Alccofine- CHEMICAL,
SiO2,BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,0.00,0.00,IS 4032-1985 RA 2019,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,,"lerm.parameter.master.table,683",,GGBS/UGGBS/Alccofine- CHEMICAL,
CaS,BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,0.00,0.00,,FALSE,CHEMICAL,0.00,99.00,0.00,% by mass,NABL,"lerm.parameter.master.table,1744",Sulphide Sulphur,GGBS/UGGBS/Alccofine- CHEMICAL,
Iron Oxide,BUILDING MATERIALS - CHEMICAL,GGBS - Chemical,0.00,0.00,IS 4032:1985,FALSE,CHEMICAL,0.00,999.00,0.00,% by mass,NABL,"lerm.parameter.master.table,2936",A) Wt of Sample (gm),GGBS/UGGBS/Alccofine- CHEMICAL,
